vin,make,model,year,body
WBAXA31040DWXXXXX,BMW,5 Series,,sedan
WBS4Y9C54KAGXXXXX,BMW,4 Series,,
WBS4Y9C54KAGXXXXX,BMW,4,,coupe
WAUZZZ8K4DA0XXXXX,Audi,A4,2013,estate
WBAKM21080C6XXXXX,BMW,7 Series,,
WBAKM21080C6XXXXX,BMW,7 Series,,sedan
WAUZZZ8E15A4XXXXX,Audi,A4,,
WAUZZZ8E15A4XXXXX,Audi,A4,,
WAUZZZF58LA0XXXXX,Audi,A5,,hatchback
WBA4W7C57JABXXXXX,BMW,4 Series,2018,
WBA4W7C57JABXXXXX,BMW,4 Series,,
WBAWE31000P3XXXXX,BMW,3 Series,,coupe
WBA4W7C57JABXXXXX,BMW,4,,coupe
WBABM11060JKXXXXX,BMW,3 Series,,coupe
WAUZZZ8T2BA1XXXXX,Audi,A5,,
WAUZZZ8T2BA1XXXXX,Audi,A5,,
WAUZZZ8T2BA1XXXXX,Audi,A5,,
WBAYB81080C9XXXXX,BMW,7 Series,,sedan
WAUZZZ8T2BA1XXXXX,Audi,A5,,
WAUZZZ8K1AA1XXXXX,Audi,A4,,
WBACR61000LJXXXXX,BMW,X Series,,SUV
WAUZZZ8K1AA1XXXXX,Audi,A4,,
WBA8H71070A7XXXXX,BMW,3 Series,,
WBA8H71070A7XXXXX,BMW,3 Series,,estate
WBADL910X0GWXXXXX,BMW,5 Series,,
WBADL910X0GWXXXXX,BMW,5 Series,,sedan
WBADL910X0GWXXXXX,BMW,5 Series,,sedan
WAUZZZ8K0BA0XXXXX,Audi,A4,,
WBABT31070LRXXXXX,BMW,Z Series,,convertible
WBAUD71060P4XXXXX,BMW,1 Series,,hatchback
WAUZZZ8K59A1XXXXX,Audi,A4,,
WAUZZZ4F8AN0XXXXX,Audi,A6,,
WAUZZZ8K59A1XXXXX,Audi,A4,,
WAUZZZ8K59A1XXXXX,Audi,A4,,
WAUZZZ8K59A1XXXXX,Audi,A4,,
WBA5E51080G1XXXXX,BMW,5 Series,,sedan
WBA3D3C58EK1XXXXX,BMW,3 Series,2014,
WBA3D3C58EK1XXXXX,BMW,3 Series,2014,sedan
WBA3D3C58EK1XXXXX,BMW,3 Series,,
WBA3D3C58EK1XXXXX,BMW,3 Series,,sedan
WBAEV11020KKXXXXX,BMW,3 Series,,sedan
WBAPA72080WDXXXXX,BMW,X3,,estate
WBAVS110X0AGXXXXX,BMW,3 Series,,estate
WBAFW31000C5XXXXX,BMW,5 Series,,
WBANG51000B3XXXXX,BMW,5 Series,,estate
WBAFW31000C5XXXXX,BMW,5 Series,,sedan
WBAYA6C5XDC9XXXXX,BMW,7 Series,2013,
WAUZZZ8U3ER1XXXXX,Audi,Q3,2014,
WUAZZZ8T1BA9XXXXX,Audi,80,,
WUAZZZ8T1BA9XXXXX,Audi,A5,,
WAUZZZ8U3ER1XXXXX,Audi,Q3,,
WAUZZZ8U3ER1XXXXX,Audi,Q3,2014,
WAUZZZ8U3ER1XXXXX,Audi,Q3,,estate
WAUZZZ8U3ER1XXXXX,Audi,Q3,,SUV
WAUZZZ8E62A0XXXXX,Audi,A4,,
WAUZZZ8E62A0XXXXX,Audi,A4,,
WAUZZZ8E62A0XXXXX,Audi,A4,,
WAUZZZ8K69A1XXXXX,Audi,A4,,
WAUZZZ8K69A1XXXXX,Audi,A4,2009,estate
WAUZZZ8V6FA0XXXXX,Audi,A3,,hatchback
WBAAX51070PDXXXXX,BMW,3 Series,,estate
WAUZZZ8H67K0XXXXX,Audi,A4,,
WAUZZZ8H67K0XXXXX,Audi,A4,,convertible
WAUZZZ8H67K0XXXXX,Audi,A4,,convertible
WAUZZZ4L4DD0XXXXX,Audi,Q7,,SUV
WBANC910X0B7XXXXX,BMW,5 Series,,sedan
WAUZZZ8T6AA0XXXXX,Audi,A5,,
WAUZZZ8T6AA0XXXXX,Audi,A5,,
WAUZZZ8R0EA0XXXXX,Audi,Q5,,estate
WAUZZZ8R0EA0XXXXX,Audi,,,SUV
WAUZZZ4G5DN1XXXXX,Audi,,,
WBAYC21060D1XXXXX,BMW,7 Series,,sedan
WBAAS71010FYXXXXX,BMW,3 Series,,sedan
WBAYC21060D1XXXXX,BMW,7 Series,,sedan
WBA1S51010V9XXXXX,BMW,1 Series,,hatchback
WBATX35000NCXXXXX,BMW,X Series,,SUV
WBATX35000NCXXXXX,BMW,X3,,
WBA4X910X0AEXXXXX,BMW,4 Series,,
WBA4X910X0AEXXXXX,BMW,4 Series,,
WBA4X910X0AEXXXXX,BMW,4,,coupe
WAUZZZ8U9DR0XXXXX,Audi,Q3,2013,
WBA1S51010V9XXXXX,BMW,1 Series,,hatchback
WAUZZZ8U9DR0XXXXX,Audi,Q3,,
WAUZZZ8U9DR0XXXXX,Audi,Q3,,
WAUZZZ8U9DR0XXXXX,Audi,Q3,,SUV
WAUZZZ8E52A0XXXXX,Audi,A4,,
WBA7V41090BMXXXXX,BMW,7 Series,,sedan
WAUZZZ8R0BA1XXXXX,Audi,Q5,,
WAUZZZ8R0BA1XXXXX,Audi,Q5,,
WAUZZZ8R0BA1XXXXX,Audi,Q5,,van
WAUZZZ8R0BA1XXXXX,Audi,Q5,,SUV
WAUZZZ4E08N0XXXXX,Audi,A8,,sedan
WAUZZZ4E08N0XXXXX,Audi,A8,2008,
WBANC51040CNXXXXX,BMW,5 Series,,sedan
WBADL81060GXXXXXX,BMW,5 Series,,sedan
WBAJP51070BVXXXXX,BMW,5 Series,,estate
WBA2C11050V3XXXXX,BMW,2 Series,,
WBA2C11050V3XXXXX,BMW,2 Series,,
WAUZZZF29LN0XXXXX,Audi,A6,,estate
WBA2C11050V3XXXXX,BMW,2 Series,,multi-purpose vehicle
WAUZZZF29LN0XXXXX,Audi,,,
WAUZZZ8P45A0XXXXX,Audi,A3,,
WAUZZZ8P45A0XXXXX,Audi,A3,,hatchback
WAUZZZ8P55A1XXXXX,Audi,A3,,
WAUZZZ8P55A1XXXXX,Audi,A3,,hatchback
WBA7C41090G5XXXXX,BMW,7 Series,,sedan
WAUZZZ8T9FA0XXXXX,Audi,A5,2015,
WBAKV610400NXXXXX,BMW,X6,,SUV
WAUZZZ8T9FA0XXXXX,Audi,A5,,
WAUZZZ8T9FA0XXXXX,Audi,A5,,
WBAFW12040DVXXXXX,BMW,5 Series,,
WAUZZZ8T9FA0XXXXX,Audi,A5,,
WAUZZZ4G2DN1XXXXX,Audi,,,
WAUZZZ4F38N1XXXXX,Audi,A6,,
WAUZZZ4F38N1XXXXX,Audi,A6,,
WBADH61070BXXXXXX,BMW,5 Series,,
WAUZZZ4F38N1XXXXX,Audi,A6,,
WBA8J11020K6XXXXX,BMW,3 Series,,
WBA8J11020K6XXXXX,BMW,R,,van
WAUZZZF49JA0XXXXX,Audi,A4,,
WAUZZZF49JA0XXXXX,Audi,A4,,
WBA8J11020K6XXXXX,BMW,3 Series,,
WAUZZZF49JA0XXXXX,Audi,A4,,
WBA8J11020K6XXXXX,BMW,3 Series,,estate
WBANM71020CPXXXXX,BMW,5 Series,,
WBAUB92000VFXXXXX,BMW,1 Series,,hatchback
WBADH61070BXXXXXX,BMW,5 Series,,
WBANM71020CPXXXXX,BMW,5 Series,,
WBADH61070BXXXXXX,BMW,5 Series,,
WBADH61070BXXXXXX,BMW,5 Series,,estate
WBANM71020CPXXXXX,BMW,5 Series,,sedan
WBAVU51080A3XXXXX,BMW,3 Series,,
WBAVU51080A3XXXXX,BMW,3 Series,,estate
WBA8C91010A0XXXXX,BMW,3 Series,,sedan
WBAVC31040PSXXXXX,BMW,3 Series,,sedan
WBABM310X0JHXXXXX,BMW,3 Series,,
WAUZZZ4G2HN0XXXXX,Audi,A6,2017,
WBAAL31060AYXXXXX,BMW,3 Series,,sedan
WAUZZZ4H8EN0XXXXX,Audi,A8,,sedan
WBAEN11020PBXXXXX,BMW,3 Series,,estate
WBABM310X0JHXXXXX,BMW,3 Series,,
WBABM310X0JHXXXXX,BMW,3 Series,,coupe
WAUZZZ4G2HN0XXXXX,Audi,A6,,
WAUZZZ4G2HN0XXXXX,Audi,A6,,
WAUZZZ4G2HN0XXXXX,Audi,A6,,
WAUZZZ8LZYA0XXXXX,Audi,A3,,
WAUZZZ8LZYA0XXXXX,Audi,A3,,hatchback
WBAJM71090G9XXXXX,BMW,5 Series,,
WBAJM71090G9XXXXX,BMW,5 Series,,estate
WAUZZZ4G9DN0XXXXX,Audi,A6,,
WAUZZZ4G9DN0XXXXX,Audi,A6,,
WAUZZZ8R1BA0XXXXX,Audi,Q5,,
WAUZZZ8R1BA0XXXXX,Audi,Q5,,
WAUZZZ8R1BA0XXXXX,Audi,Q5,,SUV
WAUZZZ8X5BB0XXXXX,Audi,A1,,
WAUZZZ8X5BB0XXXXX,Audi,A1,,
WAUZZZ8X5BB0XXXXX,Audi,A1,,hatchback
WAUZZZ8R9BA1XXXXX,Audi,Q5,,
WAUZZZ8R9BA1XXXXX,Audi,Q5,,
WBAKM210X0C3XXXXX,BMW,7 Series,,
WAUZZZ8R9BA1XXXXX,Audi,Q5,,SUV
WBY8P6105K7DXXXXX,BMW,i3,,
WAUANAF48HN0XXXXX,Audi,A4,2017,
WBAKM210X0C3XXXXX,BMW,7 Series,,sedan
WBY8P6105K7DXXXXX,BMW,i,,hatchback
WAUANAF48HN0XXXXX,Audi,A4,2017,sedan
WBAPP71060A2XXXXX,BMW,3 Series,,
WBAPP71060A2XXXXX,BMW,3 Series,,
WAUANAF48HN0XXXXX,Audi,A4,,
WAUANAF48HN0XXXXX,Audi,A4,,sedan
WAUANAF48HN0XXXXX,Audi,A4,,sedan
WBA1C92060J4XXXXX,BMW,1 Series,,hatchback
WBAPP71060A2XXXXX,BMW,3 Series,,sedan
WAUZZZ4G1EN1XXXXX,Audi,allroad,2014,estate
WBAER91090KKXXXXX,BMW,3 Series,,sedan
WBSKT610600RXXXXX,BMW,X5,,
WBSKT610600RXXXXX,BMW,X5,,SUV
WBSKT610600RXXXXX,BMW,X Series,,SUV
WBA1S51040V9XXXXX,BMW,1 Series,,
WBA5D91070D9XXXXX,BMW,5 Series,,
WBA1S51040V9XXXXX,BMW,1 Series,,estate
WBA1S51040V9XXXXX,BMW,1 Series,,hatchback
WBA5D91070D9XXXXX,BMW,5 Series,,sedan
WBANX31040C1XXXXX,BMW,5 Series,,
WBANX31040C1XXXXX,BMW,5 Series,,
WBANX31040C1XXXXX,BMW,5 Series,,sedan
WAUZZZ4F2AN0XXXXX,Audi,A6,2010,
WBAPP11050E7XXXXX,BMW,3 Series,,sedan
WBA3K910X0F9XXXXX,BMW,3 Series,,estate
WAUZZZF5XJA0XXXXX,Audi,A5,,
WAUZZZF5XJA0XXXXX,Audi,A5,,
WAUZZZF5XJA0XXXXX,Audi,A5,,
WAUZZZF5XJA0XXXXX,Audi,A5,,
WBAGT810909GXXXXX,BMW,X6,,SUV
WBAGT810909GXXXXX,BMW,,,
WAUZZZ8X9BB0XXXXX,Audi,A1,,
WAUZZZ8X9BB0XXXXX,Audi,A1,,hatchback
WAUZZZ8X9BB0XXXXX,Audi,A1,,
WBA5J51000D5XXXXX,BMW,5 Series,,estate
WBAMX52020C4XXXXX,BMW,5 Series,,estate
WAUZZZ4L3FD0XXXXX,Audi,Q7,2015,
WAUZZZ4L3FD0XXXXX,Audi,Q7,,
WAUZZZ4L3FD0XXXXX,Audi,Q7,,SUV
WBA5E71010GZXXXXX,BMW,5 Series,,
WAUZZZ8K0EA0XXXXX,Audi,A4,,
WAUZZZ8K0EA0XXXXX,Audi,A4,2014,
WAUZZZ4F49N0XXXXX,Audi,A6,,
WBA5E71010GZXXXXX,BMW,5 Series,,sedan
WAUZZZ4G2HN0XXXXX,Audi,A6,2017,
WAUZZZ8K0EA0XXXXX,Audi,A4,,
WAUZZZ4F49N0XXXXX,Audi,A6,2009,
WAUZZZ8K0EA0XXXXX,Audi,A4,,
WAUZZZ4G2HN0XXXXX,Audi,A6,,
WAUZZZ8K0EA0XXXXX,Audi,A4,,
WBA7C61030G5XXXXX,BMW,7 Series,,sedan
WAUZZZ4G2HN0XXXXX,Audi,A6,,
WAUZZZ4G2HN0XXXXX,Audi,A6,,
WAUZZZ4G2HN0XXXXX,Audi,A6,,
WAUZZZ8R6AA0XXXXX,Audi,Q5,,SUV
WBAFB720X0LXXXXXX,BMW,X Series,,SUV
WAUZZZ8T2GA0XXXXX,Audi,A5,,
WAUZZZ8T2GA0XXXXX,Audi,A5,2016,
WAUZZZ8T2GA0XXXXX,Audi,A5,,
WAUZZZ8T2GA0XXXXX,Audi,A5,,
WAUZZZ8T2GA0XXXXX,Audi,A5,,hatchback
WBAK5610300CXXXXX,BMW,X Series,,SUV
WBA6A81070D8XXXXX,BMW,6 Series,,
WBAUG51000PVXXXXX,BMW,1 Series,,
WBA6A81070D8XXXXX,BMW,6 Series,,sedan
WBA6A81070D8XXXXX,BMW,6 Series,,sedan
WBAUG51000PVXXXXX,BMW,1 Series,,hatchback
WAUZZZ4F96N0XXXXX,Audi,A6,,
WBAUK11070VAXXXXX,BMW,1 Series,,
WAUZZZ4F96N0XXXXX,Audi,A6,,
WAUZZZ8U2JR0XXXXX,Audi,Q3,2018,
WBAUK11070VAXXXXX,BMW,1 Series,,hatchback
WAUZZZ8U2JR0XXXXX,Audi,Q3,,
WAUZZZ8U2JR0XXXXX,Audi,Q3,,estate
WAUZZZ8U2JR0XXXXX,Audi,Q3,,SUV
WAUZZZ8TXGA0XXXXX,Audi,A5,2016,
WAUZZZ8T7CA0XXXXX,Audi,A5,2012,
WAUZZZ8TXGA0XXXXX,Audi,A5,,
WAUZZZ8TXGA0XXXXX,Audi,A5,,
WBANF31080CCXXXXX,BMW,5 Series,,sedan
WBSJF01040G9XXXXX,BMW,5 Series,,sedan
WBA6W510405PXXXXX,BMW,2 Series,,
WBA6W510405PXXXXX,BMW,2 Series,,multi-purpose vehicle
WAUENAF42HN0XXXXX,Audi,A4,,sedan
WBAFV310X0DPXXXXX,BMW,5 Series,,sedan
WA1BCCFSXJR0XXXXX,Audi,Q3,,
WA1BCCFSXJR0XXXXX,Audi,Q3,2018,
WBAUD91010P3XXXXX,BMW,1 Series,,hatchback
WBAFW12040C8XXXXX,BMW,5 Series,,sedan
WA1BCCFSXJR0XXXXX,Audi,Q3,,
WA1BCCFSXJR0XXXXX,Audi,Q3,,SUV
WAUZZZ8E88W0XXXXX,Audi,A4,,
WAUZZZ8E88W0XXXXX,Audi,A4,,sedan
WAUZZZF45HA0XXXXX,Audi,A4,2017,
WAUZZZF45HA0XXXXX,Audi,A4,,
WAUZZZ4F17N1XXXXX,Audi,A6,,sedan
WBAXA91020DXXXXXX,BMW,5 Series,,sedan
WAUZZZ4F17N1XXXXX,Audi,A6,,
WBA5E31090G0XXXXX,BMW,5 Series,,sedan
WAUZZZ4F17N1XXXXX,Audi,A6,,
WBA1Y91000P7XXXXX,BMW,1 Series,,
WBA1Y91000P7XXXXX,BMW,1 Series,,hatchback
WBA1V910405DXXXXX,BMW,1 Series,,hatchback
WAUZZZF21KN0XXXXX,Audi,A6,,
WAUZZZF21KN0XXXXX,Audi,A6,,
WAUZZZF21KN0XXXXX,Audi,,,
WBAPP11080E7XXXXX,BMW,3 Series,,sedan
WAUZZZ8F4FN0XXXXX,Audi,A5,,
WAUZZZF40HA0XXXXX,Audi,A4,2017,sedan
WAUFNAF44JA0XXXXX,Audi,A4,2018,sedan
WBA3T71090PWXXXXX,BMW,4,,convertible
WAUZZZ8F4FN0XXXXX,Audi,A5,,
WAUZZZF40HA0XXXXX,Audi,A4,,
WAUZZZ8F4FN0XXXXX,Audi,A5,,convertible
WAUZZZ8F4FN0XXXXX,Audi,A5,,convertible
WAUFNAF44JA0XXXXX,Audi,A4,,
WAUFNAF44JA0XXXXX,Audi,A4,,sedan
WAUZZZF40HA0XXXXX,Audi,A4,,
WAUZZZ8K09A1XXXXX,Audi,A4,,
WAUZZZ8K09A1XXXXX,Audi,A4,,
WAUZZZ8K09A1XXXXX,Audi,A4,,
WAUZZZ4G7GN0XXXXX,Audi,A6,,
WAUZZZ4G7GN0XXXXX,Audi,A6,,
WBAJF11020CDXXXXX,BMW,5 Series,2019,sedan
WBAPD11030WFXXXXX,BMW,X Series,,SUV
WAUZZZ4G7GN0XXXXX,Audi,A6,,
WBA2A91050V7XXXXX,BMW,2 Series,,
WBAFH01010L8XXXXX,BMW,X Series,,SUV
WBA2A91050V7XXXXX,BMW,2 Series,,multi-purpose vehicle
WAUZZZ8LZVA0XXXXX,Audi,,,hatchback
WBAKM81060C4XXXXX,BMW,7 Series,,
WBAKM81060C4XXXXX,BMW,7 Series,,
WBAKM81060C4XXXXX,BMW,7 Series,,sedan
WAUZZZ8R5FA0XXXXX,Audi,,,SUV
WBA5N410X0G2XXXXX,BMW,5 Series,,hatchback
WAUZZZ8E64A2XXXXX,Audi,A4,,
WAUZZZ8E64A2XXXXX,Audi,A4,,
WBAVU31020KZXXXXX,BMW,3 Series,,estate
WBA5R71050FHXXXXX,BMW,3 Series,,sedan
WBA5E51000G0XXXXX,BMW,5 Series,,
WBA5E51000G0XXXXX,BMW,5 Series,,sedan
WAUZZZ8K19A2XXXXX,Audi,A4,,
WAUZZZ8K19A2XXXXX,Audi,A4,,
WAUZZZF52JA1XXXXX,Audi,A5,,
WAUZZZF52JA1XXXXX,Audi,A5,,
WBA1C71040J2XXXXX,BMW,1 Series,,
WBA1C71040J2XXXXX,BMW,1 Series,,hatchback
WBA1C71040J2XXXXX,BMW,1 Series,,
WAUZZZ8K0FN0XXXXX,Audi,A4,2015,
WBA3K31030F6XXXXX,BMW,3 Series,,estate
WBANC51080CNXXXXX,BMW,5 Series,,sedan
WAUZZZ8K0FN0XXXXX,Audi,A4,,
WAUZZZ8K0FN0XXXXX,Audi,A4,,
WBA6B41080D1XXXXX,BMW,6 Series,,sedan
WAUZZZ8K0FN0XXXXX,Audi,A4,,sedan
WAUZZZ8K0FN0XXXXX,Audi,A4,,
WBA3D31070F3XXXXX,BMW,3 Series,,sedan
WAUZZZ8R7AA0XXXXX,Audi,Q5,,
WAUZZZ8R7AA0XXXXX,Audi,Q5,,
WAUZZZ4G2CN1XXXXX,Audi,,,
WAUZZZ8R7AA0XXXXX,Audi,Q5,,SUV
WAUZZZ8X9CB0XXXXX,Audi,A1,,
WAUZZZ8X9CB0XXXXX,Audi,A1,,hatchback
WBAKS810100MXXXXX,BMW,X5,,SUV
WAUZZZ8V2DA0XXXXX,Audi,A3,,
WAUZZZ8V2DA0XXXXX,Audi,A4,2013,
WBAKS810100MXXXXX,BMW,X Series,,SUV
WBAFB31000LGXXXXX,BMW,X5,,
WBA51BL060WXXXXXX,BMW,X Series,,SUV
WAUZZZ8K19A2XXXXX,Audi,A4,,
WAUZZZ8K19A2XXXXX,Audi,A4,,
WAUZZZ8K19A2XXXXX,Audi,A4,,
WBAFB31000LGXXXXX,BMW,X Series,,SUV
WAUZZZ8K79A0XXXXX,Audi,A4,,
WAUZZZ8K7FN0XXXXX,Audi,A4,,
WAUZZZ8K79A0XXXXX,Audi,A4,,
WAUZZZ8K79A0XXXXX,Audi,A4,,
WAUZZZ8K7FN0XXXXX,Audi,A4,2015,
WBAVA51050VAXXXXX,BMW,3 Series,,sedan
WBA8C310X0K7XXXXX,BMW,3 Series,,sedan
WBAJG12020ENXXXXX,BMW,X1,,estate
WAUZZZ8K79A0XXXXX,Audi,A4,,
WBAKV210100YXXXXX,BMW,X Series,,SUV
WAUZZZ8K7FN0XXXXX,Audi,A4,,sedan
WBA3K310X0F6XXXXX,BMW,3 Series,,estate
WAUZZZ8R9AA0XXXXX,Audi,Q5,,
WAUZZZ4F15N0XXXXX,Audi,A6,,
WAUZZZ8R9AA0XXXXX,Audi,Q5,,
WAUZZZ4F15N0XXXXX,Audi,A6,,
WAUZZZ4F15N0XXXXX,Audi,A6,,
WBAVM71070VYXXXXX,BMW,X Series,,SUV
WAUZZZ4F15N0XXXXX,Audi,A6,,sedan
WAUZZZ8R9AA0XXXXX,Audi,Q5,,SUV
WBAMX110X0C3XXXXX,BMW,5 Series,,
WBAMX110X0C3XXXXX,BMW,5 Series,,
WBAMX110X0C3XXXXX,BMW,5 Series,,estate
WBANC31060CYXXXXX,BMW,5 Series,,sedan
WBAVC31060VGXXXXX,BMW,3 Series,,
WBA4K31090BGXXXXX,BMW,4,,liftback
WBA5V31070AKXXXXX,BMW,3 Series,,
WBA5V31070AKXXXXX,BMW,3 Series,,sedan
WBAUM71070VYXXXXX,BMW,1 Series,,convertible
WBAJA91070G9XXXXX,BMW,5 Series,,
WBAJA91070G9XXXXX,BMW,5 Series,,sedan
WAUZZZ4G1DN1XXXXX,Audi,A6,2013,
WBACB71070APXXXXX,BMW,3 Series,,
WBACB71070APXXXXX,BMW,3 Series,,sedan
WAUZZZ8R5DA0XXXXX,Audi,Q5,,
WAUZZZ8R5DA0XXXXX,Audi,Q5,,
WAUZZZ8R5DA0XXXXX,Audi,Q5,,SUV
WAUZZZ8V8JA1XXXXX,Audi,A3,,
WAUZZZ8V8JA1XXXXX,Audi,,,hatchback
WAUZZZF3XK10XXXXX,Audi,Q3,,
WAUZZZF3XK10XXXXX,Audi,Q3,,
WBS3R91000K3XXXXX,BMW,4,,coupe
WBA5N61090D0XXXXX,BMW,5 Series,,
WBAUG31060PUXXXXX,BMW,1 Series,,
WAUZZZF3XK10XXXXX,Audi,Q3,,SUV
WBA5N61090D0XXXXX,BMW,5 Series,,hatchback
WBAUG31060PUXXXXX,BMW,1 Series,,
WBAUG31060PUXXXXX,BMW,1 Series,,hatchback
WBA1S72010P7XXXXX,BMW,1 Series,,hatchback
WBA1S72010P7XXXXX,BMW,1 Series,,hatchback
WBAXB520X0D1XXXXX,BMW,5 Series,,estate
WBANX31010C0XXXXX,BMW,5 Series,,sedan
WAUZZZF47KN0XXXXX,Audi,A4,,
WAUZZZ4G0FN0XXXXX,Audi,A6,,
WAUZZZ4G0FN0XXXXX,Audi,A6,,
WBAKM21040CYXXXXX,BMW,7 Series,,sedan
WAUZZZ4G0FN0XXXXX,Audi,,,
WBAPU310X0CTXXXXX,BMW,5 Series,,estate
WBAPY71040C0XXXXX,BMW,5 Series,,
WBAPY71040C0XXXXX,BMW,5 Series,,estate
WAUZZZ4G5JN0XXXXX,Audi,A6,2018,
WAUZZZ8T6AA0XXXXX,Audi,A5,,
WAUDNAF46JA0XXXXX,Audi,A4,2018,
WAUZZZ8T6AA0XXXXX,Audi,A5,,
WBAFB71000LXXXXXX,BMW,X Series,,SUV
WAUZZZ4G5JN0XXXXX,Audi,A6,,
WAUZZZ4G5JN0XXXXX,Audi,A6,,
WAUZZZ4G5JN0XXXXX,Audi,A6,,
WAUDNAF46JA0XXXXX,Audi,A4,,sedan
WAUDNAF46JA0XXXXX,Audi,A4,2018,sedan
WAUDNAF46JA0XXXXX,Audi,A4,,
WAUDNAF46JA0XXXXX,Audi,A4,,
WAUDNAF46JA0XXXXX,Audi,A4,,sedan
WBANC51030CNXXXXX,BMW,5 Series,,sedan
WAUZZZ4F17N0XXXXX,Audi,A6,,
WBANE52080CKXXXXX,BMW,5 Series,,
WAUZZZ4F17N0XXXXX,Audi,A6,,
WAUZZZ4F17N0XXXXX,Audi,A6,,estate
WBAUX11060A7XXXXX,BMW,3 Series,,estate
WAUZZZ8K6FA0XXXXX,Audi,A4,,
WAUZZZ8K6FA0XXXXX,Audi,A4,,
WBA5C310X0D0XXXXX,BMW,5 Series,,
WAUZZZ4G9HN0XXXXX,Audi,A6,2017,
WAUZZZ4G9HN0XXXXX,Audi,A6,,
WBA5C310X0D0XXXXX,BMW,5 Series,,sedan
WAUZZZ8X6CB2XXXXX,Audi,A1,,
WBA5C310X0D0XXXXX,BMW,5 Series,,sedan
WAUZZZ8X6CB2XXXXX,Audi,A1,,hatchback
WBA5C310X0D0XXXXX,BMW,5 Series,,sedan
WBAWZ510X00UXXXXX,BMW,X Series,,SUV
WAUZZZ8T7CA0XXXXX,Audi,A5,,
WAUZZZ8T7CA0XXXXX,Audi,A5,2012,
WBAGF610X0DGXXXXX,BMW,7 Series,1995,sedan
WAUZZZ4G6CN1XXXXX,Audi,A6,,estate
WAUZZZ4G6CN1XXXXX,Audi,A6,,estate
WBAGF610X0DGXXXXX,BMW,7 Series,,sedan
WAUZZZ4G6GN1XXXXX,Audi,A6,,
WAUZZZ4G6GN1XXXXX,Audi,A6,,SUV
WAUZZZF24LN0XXXXX,Audi,A6,2020,estate
WBA11CM0908CXXXXX,BMW,3 Series,,
WBAP011000WHXXXXX,BMW,X Series,,SUV
WBANJ51050XVXXXXX,BMW,,,
WAUHGAFC8DN1XXXXX,Audi,A6,2013,sedan
WAUHGAFC8DN1XXXXX,Audi,A6,2013,sedan
WAUHGAFC8DN1XXXXX,Audi,,,sedan
WAUZZZ4H8BN0XXXXX,Audi,A8,,
WAUZZZ4H8BN0XXXXX,Audi,A8,,sedan
WBA5K52090D3XXXXX,BMW,5 Series,,estate
WBA5K52090D3XXXXX,BMW,5 Series,,estate
WAUZZZ8K2DA0XXXXX,Audi,A4,,
WAUZZZ8K2DA0XXXXX,Audi,A4,,
WAUZZZ8K2DA0XXXXX,Audi,A4,2013,estate
WBAUB71040VAXXXXX,BMW,1 Series,,
WBAUB71040VAXXXXX,BMW,1 Series,,hatchback
WBAUB71040VAXXXXX,BMW,1 Series,,hatchback
WBAFG02030LJXXXXX,BMW,X Series,,SUV
WBAUZ710209EXXXXX,BMW,,,
WAUZZZ8R9BA1XXXXX,Audi,Q5,,
WAUZZZ8R9BA1XXXXX,Audi,Q5,,
WAUZZZ8R9BA1XXXXX,Audi,Q5,,SUV
WBAFW51080C5XXXXX,BMW,5 Series,,sedan
WAUZZZ4F15N0XXXXX,Audi,A6,,
WAUZZZ4F15N0XXXXX,Audi,A6,,
WAUZZZF42JA1XXXXX,Audi,A4,,
WAUZZZ4F15N0XXXXX,Audi,A6,,sedan
WBAFR7C58CC8XXXXX,BMW,5 Series,2012,sedan
WAUZZZF42JA1XXXXX,Audi,A4,,
WA1AY74L08D0XXXXX,Audi,Q7,2008,
WBA7C610X0G5XXXXX,BMW,7 Series,,sedan
WAUZZZF42JA1XXXXX,Audi,A4,,
WA1AY74L08D0XXXXX,Audi,Q7,,
WBAFR7C58CC8XXXXX,BMW,i3,,
WBAFR7C58CC8XXXXX,BMW,5 Series,,sedan
WA1AY74L08D0XXXXX,Audi,Q7,,SUV
WBAKV410100PXXXXX,BMW,X Series,,SUV
WBA3K510X0F9XXXXX,BMW,3 Series,,
WBA3K510X0F9XXXXX,BMW,3 Series,,estate
WBA1R510607DXXXXX,BMW,1 Series,,hatchback
WBABB1107034XXXXX,BMW,3 Series,,convertible
WBA3D310X0J5XXXXX,BMW,3 Series,,sedan
WBAYH5100L5PXXXXX,BMW,X Series,,SUV
WBAKV610300WXXXXX,BMW,X6,,SUV
WBAKV610300WXXXXX,BMW,X Series,,SUV
WAUZZZ8K89A1XXXXX,Audi,A4,,
WAUZZZ8K89A1XXXXX,Audi,A4,,
WAUZZZ8K89A1XXXXX,Audi,A4,,
WUAZZZ4G5EN9XXXXX,Audi,A6,,
WUAZZZ4G5EN9XXXXX,Audi,,,estate
WBA3B91050F8XXXXX,BMW,3 Series,,sedan
WBA7L510105TXXXXX,BMW,1 Series,,
WBA7L510105TXXXXX,BMW,,,
WBAXA71020DZXXXXX,BMW,5 Series,,
WAUZZZ4LX7D0XXXXX,Audi,Q7,,
WAUZZZ4LX7D0XXXXX,Audi,Q7,,
WAUZZZ4LX7D0XXXXX,Audi,Q7,,SUV
WAUZZZ4F95N0XXXXX,Audi,A6,,
WBS1J51020VDXXXXX,BMW,2 Series,,coupe
WBAFW31020C5XXXXX,BMW,5 Series,,sedan
